Бренд;Артикул;Назва;Посилання на фото
KVІTKA;02630;Шампунь-кондиціонер для сухого та пошкодженого волосся з гліцерином та олією ромашки 750 ml Jerelia KVІTKA (02630);https://cdn1.jerelia.com/Pictures/jerelia_02630_1_158019414.png
KVІTKA;02629;Шампунь-кондиціонер для жирного волосся з олією календули та вітаміном Е 750 ml Jerelia KVІTKA (02629);https://cdn1.jerelia.com/Pictures/jerelia_02629_1_76979618.png
KVІTKA;02631;Шампунь-кондиціонер для всіх типів волосся. Укріплюючий з молочними протеїнами та екстрактом вівса. 750 ml Jerelia KVІTKA (02631);https://cdn1.jerelia.com/Pictures/jerelia_02631_1_158019434.png
Hair System;06909;Шампунь проти лупи 250 ml Jerelia Hair System (06909);https://cdn1.jerelia.com/Pictures/jerelia_06909_1_67806721.png
Hair System;06902;Шампунь проти випадіння волосся. Крок 2 250 ml Jerelia Hair System (06902);https://cdn1.jerelia.com/Pictures/jerelia_06902_1_94316920.png
Omega;23704;Шампунь для волосся. Omega hair shampoo 250 ml Jerelia Omega (23704);https://cdn1.jerelia.com/Pictures/jerelia_23704_1.png
YoUnique;21513;Чорна маска-плівка 100 ml Jerelia YoUnique (21513);https://cdn1.jerelia.com/Pictures/jerelia_21513_1_122388723.png
Be Healthy;09312;Цинк Актив (Цинк С) 60 pills Jerelia Be Healthy (09312);https://cdn1.jerelia.com/Pictures/jerelia_09312_1.png
Be Healthy;09325;Хондровіт.Фітокомплекс проти болю в суглобах 60 capsules Jerelia Be Healthy (09325);https://cdn1.jerelia.com/Pictures/jerelia_09325_1_148232818.png
Be Healthy;09335;Хлорела 90 pills Jerelia Be Healthy (09335);https://cdn1.jerelia.com/Pictures/jerelia_09335_1.png
Be Healthy;09320;Хітозан.Природній сорбент 60 capsules Jerelia Be Healthy (09320);https://cdn1.jerelia.com/Pictures/jerelia_09320_1_120353932.png
PODIUM;21706;"Хайлайтер для обличчя ""Сонячне сяйво"" 7 g Jerelia PODIUM (21706)";https://cdn1.jerelia.com/Pictures/jerelia_21706_1.png
Be Healthy;09316;"Фітокомплекс антипаразитарний ""Добропузик"" 60 capsules Jerelia Be Healthy (09316)";https://cdn1.jerelia.com/Pictures/jerelia_09316_1.png
MOLFAR;11015;"Фітогель для ніг з екстрактом п‘явки ""VARICOSTOP effect"" 100 ml Jerelia MOLFAR (11015)";https://cdn1.jerelia.com/Pictures/jerelia_11015_1_161006804.png
Oselya;52452;Універсальний професійний засіб АнтиЖир 500 ml Oselya Jerelia (52452);https://cdn1.jerelia.com/Pictures/jerelia_52452_1_165594146.png
SPA;21554;Універсальний зволожуючий гель з алоє вера 200 ml Jerelia SPA (21554);https://cdn1.jerelia.com/Pictures/jerelia_21554_1_81120964.png
Oselya;52405;Універсальний засіб для кухонних поверхонь 500 ml Oselya Jerelia (52405);https://cdn1.jerelia.com/Pictures/jerelia_52405_1_165593918.png
